Paired_ID	Meta_ID	Sample_type	Sample_type_QC	Experimental_batch	Year	type_year
4671269098-1	X1	Maternal blood	Samples	1	15	Maternal blood_15
5412358713-1	X10	Maternal blood	Samples	1	15	Maternal blood_15
1877165600-1	X100	Maternal blood	Samples	2	15	Maternal blood_15
7655225073-1	X1000	Cord blood	Samples	2	17	Cord blood_17
7203744606-1	X1001	Cord blood	Samples	2	17	Cord blood_17
1201686827-1	X1002	Cord blood	Samples	2	17	Cord blood_17
8694061627-1	X1003	Cord blood	Samples	1	17	Cord blood_17
4416213666-1	X1004	Cord blood	Samples	1	17	Cord blood_17
385008892-1	X1005	Cord blood	Samples	2	17	Cord blood_17
4343373656-1	X1006	Cord blood	Samples	1	17	Cord blood_17
9518352066-1	X1007	Cord blood	Samples	1	17	Cord blood_17
9709084923-1	X1008	Cord blood	Samples	1	17	Cord blood_17
2143907943-1	X1009	Cord blood	Samples	2	17	Cord blood_17
9979048483-1	X101	Maternal blood	Samples	1	15	Maternal blood_15
2254742613-2	X1010	Cord blood	Samples	1	17	Cord blood_17
9757791096-1	X1011	Cord blood	Samples	1	17	Cord blood_17
5732497040-1	X1012	Cord blood	Samples	2	17	Cord blood_17
4132265422-1	X1013	Cord blood	Samples	1	17	Cord blood_17
7196054918-2	X1014	Cord blood	Samples	2	17	Cord blood_17
7114693753-1	X1015	Cord blood	Samples	1	17	Cord blood_17
6449830609-1	X1016	Cord blood	Samples	2	17	Cord blood_17
1479816246-2	X1017	Cord blood	Samples	2	17	Cord blood_17
464731292-1	X1018	Cord blood	Samples	1	17	Cord blood_17
9203078313-1	X1019	Cord blood	Samples	1	17	Cord blood_17
5546972735-1	X102	Maternal blood	Samples	2	15	Maternal blood_15
8938687839-1	X1020	Cord blood	Samples	1	17	Cord blood_17
4410476081-1	X1021	Cord blood	Samples	1	17	Cord blood_17
7860274681-1	X1022	Cord blood	Samples	2	17	Cord blood_17
8458018181-1	X1023	Cord blood	Samples	1	17	Cord blood_17
8656399812-1	X1024	Cord blood	Samples	1	17	Cord blood_17
6216936361-1	X1025	Cord blood	Samples	2	17	Cord blood_17
7490970090-1	X1026	Cord blood	Samples	1	17	Cord blood_17
8541436846-1	X1027	Cord blood	Samples	1	17	Cord blood_17
5901545945-1	X1028	Cord blood	Samples	1	17	Cord blood_17
8442649002-1	X1029	Cord blood	Samples	1	17	Cord blood_17
